Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. callidryas,40517,40531,4.50,2,,,,NoMatch,0.0,,,,,,,,
1,,Acacia,15300,15306,,1,,,,Exact,9.00960,0,Acacia,Acacia,LV7,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Acacia,
2,,Acacia karroo,1321,1336,8.15,2,,,,Exact,9.01138,0,Acacia karroo Hayne,Acacia karroo,8PGC,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Vachellia|Vachellia karroo,
3,,Aegotheles,66483,66493,2.99,1,,,,Exact,9.01315,0,"Aegotheles Vigors & Horsfield, 1827",Aegotheles,PKZ,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Apodiformes|Aegothelidae|Aegotheles,
4,,Agalychnis callidryas,38874,38896,9.73,2,,,,Exact,9.01315,0,"Agalychnis callidryas (Cope, 1862)",Agalychnis callidryas,65JNR,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Phyllomedusidae|Agalychnis|Agalychnis callidryas,
5,,Agalychnis saltator,43897,43917,10.78,2,,,,Exact,9.01315,0,"Agalychnis saltator Taylor, 1955",Agalychnis saltator,65JPW,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Anura|Phyllomedusidae|Agalychnis|Agalychnis saltator,
6,,Alauda,60036,60042,2.46,1,,,,Exact,9.01315,0,"Alauda Linnaeus, 1758",Alauda,RFQ,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Alaudidae|Alauda,
7,,C. megarhyncha,66739,66754,6.58,2,,,,NoMatch,0.0,,,,,,,,
8,,Charadrius,60160,60170,4.89,1,,,,Exact,9.01315,0,"Charadrius Linnaeus, 1758",Charadrius,3M7T,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Charadrius,
9,,Colluricincla megarhyncha,48108,48134,11.21,2,,,,Exact,9.01315,0,"Colluricincla megarhyncha (Quoy & Gaimard, 1830)",Colluricincla megarhyncha,X4Y4,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Pachycephalidae|Colluricincla|Colluricincla megarhyncha,
10,,E. eschscholtzii,8595,8612,6.38,2,,,,NoMatch,0.0,,,,,,,,
11,,Ensatina,6851,6859,3.66,1,,,,Exact,9.01315,0,"Ensatina Gray, 1850",Ensatina,4BZX,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Caudata|Plethodontidae|Plethodontinae|Ensatina,
12,,Ensatina eschscholtzii,1291,1314,10.43,2,,,,Exact,9.01315,0,"Ensatina eschscholtzii Gray, 1850",Ensatina eschscholtzii,39WWZ,1,Catalogue of Life,Biota|Animalia|Chordata|Amphibia|Caudata|Plethodontidae|Plethodontinae|Ensatina|Ensatina eschscholtzii,
13,,Heliconius,38766,38776,4.89,1,,,,Exact,9.00960,0,Heliconius,Heliconius,62TLS,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Papilionoidea|Nymphalidae|Heliconius,
14,,Hypsiglena,65104,65114,4.90,1,,,,Exact,9.00960,0,Hypsiglena,Hypsiglena,5328,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Colubroidea|Colubridae|Dipsadinae|Hypsiglena,
15,,L. schreiberi,64045,64059,7.40,2,,,,NoMatch,0.0,,,,,,,,
16,,L. trivirgata,65169,65183,7.94,2,,,,NoMatch,0.0,,,,,,,,
17,,Lacerta schreiberi,47922,47941,11.18,2,,,,Exact,9.01315,0,"Lacerta schreiberi Bedriaga, 1878",Lacerta schreiberi,3RMVW,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Scincomorpha|Lacertidae|Lacerta|Lacerta schreiberi,
18,,Larus,1595,1600,4.82,1,,,,Exact,9.01315,0,"Larus Linnaeus, 1758",Larus,62XFH,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Charadriiformes|Laridae|Larus,
19,,Lichanura trivirgata,48013,48034,13.62,2,,,,Exact,9.01315,0,"Lichanura trivirgata Cope, 1861",Lichanura trivirgata,6PW47,1,Catalogue of Life,Biota|Animalia|Chordata|Reptilia|Squamata|Booidea|Boidae|Charininae|Lichanura|Lichanura trivirgata,
20,,Maka,15934,15938,2.12,1,,,,Exact,8.98392,0,"Maka Monterosato, 1884",Maka,urn:lsid:irmng.org:taxname:1427649,181,IRMNG,Biota|Animalia|Mollusca|Bivalvia|Venerida|Solecurtidae|Maka,
21,,P. trochiloides,8697,8713,6.61,2,,,,NoMatch,0.0,,,,,,,,
22,,Parra,69417,69423,2.95,1,,,,Exact,8.98392,0,"Parra Lacepède, 1799",Parra,urn:lsid:irmng.org:taxname:1345134,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Aves|Aves|Aves|Parra,
23,,Parus major,60105,60117,5.99,2,,,,Exact,9.01315,0,"Parus major Linnaeus, 1758",Parus major,75SVV,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Paridae|Parus|Parus major,
24,,Phylloscopus,15393,15405,1.34,1,,,,Exact,9.01315,0,"Phylloscopus F. Boie, 1826",Phylloscopus,6PRN,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Phylloscopidae|Phylloscopus,
25,,Phylloscopus trochiloides,1565,1590,12.39,2,,,,Exact,9.01315,0,"Phylloscopus trochiloides (Sundevall, 1837)",Phylloscopus trochiloides,6VFNC,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Phylloscopidae|Phylloscopus|Phylloscopus trochiloides,
26,,Pitohui,66449,66457,2.84,1,,,,Exact,9.01315,0,"Pitohui Lesson, 1831",Pitohui,6QZQ,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Oriolidae|Pitohui,
27,,Salmandra salamandra,63590,63611,4.73,2,,,,Exact,8.91436,0,Salmandra salamandra,Salmandra salamandra,575660,168,ION,,
28,,Tanysiptera,66458,66469,5.67,1,,,,Exact,9.01315,0,"Tanysiptera Vigors, 1825",Tanysiptera,7SJF,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Halcyoninae|Tanysiptera,
