Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Chorthippus parallelus erythropus,46445,46479,18.96,3,,,,Exact,9.32228,0,"Chorthippus parallelus erythropus Faber, 1958",Chorthippus parallelus erythropus,7JKTF,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Orthoptera|Caelifera|Acrididea|Acridomorpha|Acridoidea|Acrididae|Gomphocerinae|Gomphocerini|Pseudochorthippus|Pseudochorthippus parallelus|Pseudochorthippus parallelus erythropus,
1,,Chorthippus parallelus parallelus,46407,46440,19.11,3,,,,Exact,9.32228,0,"Chorthippus (Chorthippus) parallelus parallelus (Zetterstedt, 1821)",Chorthippus parallelus parallelus,8Q5D5,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Orthoptera|Caelifera|Acrididea|Acridomorpha|Acridoidea|Acrididae|Gomphocerinae|Gomphocerini|Pseudochorthippus|Pseudochorthippus parallelus|Pseudochorthippus parallelus parallelus,
2,,Cicindela dorsalis,5260,5281,12.50,2,,,,Exact,9.01138,0,"Cicindela dorsalis Dejean, 1826",Cicindela dorsalis,V94T,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Caraboidea|Carabidae|Cicindelinae|Cicindelini|Cicindelina|Myriochila|Myriochila|Myriochila dorsata,
3,,G. caliginea,9223,9235,6.51,2,,,,NoMatch,0.0,,,,,,,,
4,,G. fuscipes,11347,11359,5.79,2,,,,NoMatch,0.0,,,,,,,,
5,,G. gambiensis,40623,40636,6.40,2,,,,NoMatch,0.0,,,,,,,,
6,,G. nigrofusca,9240,9253,6.26,2,,,,NoMatch,0.0,,,,,,,,
7,,G. pallicera,9209,9222,6.88,2,,,,NoMatch,0.0,,,,,,,,
8,,G. pallidipes,52356,52369,6.02,2,,,,NoMatch,0.0,,,,,,,,
9,,G. palpalis,3657,3668,7.41,2,,,,NoMatch,0.0,,,,,,,,
10,,G. palpalis palpalis,11095,11115,13.97,3,,,,NoMatch,0.0,,,,,,,,
11,,G. tachinoides,11360,11375,6.76,2,,,,NoMatch,0.0,,,,,,,,
12,,Glossina,1791,1799,3.66,1,,,,Exact,9.00960,0,Glossina,Glossina,4P8M,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Glossinidae|Glossina,
13,,Glossina fuscipes fuscipes,7778,7805,15.25,3,,,,Exact,9.29267,0,Glossina fuscipes fuscipes,Glossina fuscipes fuscipes,49856660,12,EOL,,
14,,Glossina pallidipes,18478,18497,10.08,2,,,,Exact,9.01315,0,"Glossina (Glossina) pallidipes Austen, 1903",Glossina pallidipes,8C846,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Glossinidae|Glossina|Glossina|Glossina pallidipes,
15,,Glossina palpalis,3079,3097,11.47,2,,,,Exact,9.01315,0,"Glossina (Nemorhina) palpalis (Robineau-Desvoidy, 1830)",Glossina palpalis,8C84C,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Glossinidae|Glossina|Nemorhina|Glossina palpalis,
16,,Glossina palpalis palpalis,179,205,18.03,3,,,,Exact,9.29267,0,Glossina palpalis palpalis,Glossina palpalis palpalis,455683,179,Open Tree of Life,||Eukaryota|Opisthokonta|Holozoa|Metazoa|Eumetazoa|Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Arthropoda|Mandibulata|Pancrustacea|Hexapoda|Insecta|Dicondylia|Pterygota|Neoptera|Holometabola|Diptera|Brachycera|Muscomorpha|Eremoneura|Cyclorrhapha|Schizophora|Calyptratae|Hippoboscoidea|Glossinidae|Glossina|Nemorhina|Glossina palpalis|Glossina palpalis palpalis,
17,,Glossinidae,3260,3271,4.91,1,,,,Exact,9.00960,0,Glossinidae,Glossinidae,623KG,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Glossinidae,
18,,Hippoboscoidea,3292,3307,4.71,1,,,,Exact,8.98012,0,Hippoboscoidea,Hippoboscoidea,14713,2,Wikispecies,,
19,,Mega,21034,21038,2.12,1,,,,Exact,8.91436,0,Mega,Mega,98021101,169,uBio NameBank,,
20,,Momar,54087,54092,1.87,1,,,,Exact,9.00960,0,Momar,Momar,63BNB,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Hemiptera|Fulgoroidea|Achilidae|Momar,
21,,Nigerian,42407,42415,0.77,1,,,,Exact,8.91878,0,Nigerian Nymphalidae,Nigerian,2579534,168,ION,,
22,,Simuliidae,5320,5332,4.76,1,,,,Exact,9.00960,0,Simuliidae,Simuliidae,6279F,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Simuliidae,
23,,T. congolense,9734,9748,6.75,2,,,,NoMatch,0.0,,,,,,,,
