Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. ambigua,26490,26501,5.53,2,,,,NoMatch,,,,,,,,
1,,A. granulata,26502,26515,7.85,2,,,,NoMatch,,,,,,,,
2,,Abies,39016,39021,0.81,1,,,,Exact,0,Abies,Abies,627WF,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae|Abies,
3,,Aulacoseira,1466,1479,4.95,1,,,,Exact,0,"Aulacoseira G.H.K. Thwaites, 1848",Aulacoseira,urn:lsid:marinespecies.org:taxname:148959,9,WoRMS,Biota|Chromista|Harosa|Heterokonta|Ochrophyta|Khakista|Bacillariophyceae|Coscinodiscophycidae|Coscinodiscanae|Aulacoseirales|Aulacoseiraceae|Aulacoseira,
4,,Aulacoseira ambigua,26041,26060,10.88,2,,,,Exact,0,Aulacoseira ambigua (Grunow) Simonsen,Aulacoseira ambigua,32945,195,AlgaeBase,Bacillariophyta|Coscinodiscophyceae|Aulacoseirales|Aulacoseiraceae|Aulacoseira|Aulacoseira ambigua,
5,,Aulacoseira granulata,26083,26104,13.21,2,,,,Exact,0,Aulacoseira granulata (Ehrenb.) Simonsen,Aulacoseira granulata,591207,3,ITIS,Chromista|Harosa|Halvaria|Heterokonta|Ochrophyta|Bacillariophyceae|Coscinodiscophycidae|Aulacoseirales|Aulacoseiraceae|Aulacoseira|Aulacoseira granulata,
6,,B. pacifica,21981,21992,7.24,2,,,,NoMatch,,,,,,,,
7,,Bolidomonas pacifica,12498,12518,11.91,2,,,,Exact,0,Bolidomonas pacifica Guillou & Chrétiennot-Dinet,Bolidomonas pacifica,40911,195,AlgaeBase,Ochrophyta|Bolidophyceae|Parmales|Triparmaceae|Triparma|Triparma pacifica dos,
8,,Bolidophyceae,12519,12535,4.53,1,,,,Exact,0,"Bolidophyceae L. Guillou & M.-J. Chrétiennot-Dinet in L. Guillou et al., 1999",Bolidophyceae,7NFRG,1,Catalogue of Life,Biota|Chromista|Ochrophyta|Bolidophyceae,
9,,C. pseudostelligera,28700,28720,7.45,2,,,,NoMatch,,,,,,,,
10,,Chaetoceros,29982,29993,3.72,1,,,,Exact,0,Chaetoceros Ehrenberg,Chaetoceros,62LPC,1,Catalogue of Life,Biota|Chromista|Ochrophyta|Bacillariophyceae|Chaetocerotales|Chaetocerotaceae|Chaetoceros,
11,,Chaetocerotaceae,46057,46074,4.84,1,,,,Exact,0,Chaetocerotaceae Ralfs in Pritchard,Chaetocerotaceae,7YK,1,Catalogue of Life,Biota|Chromista|Ochrophyta|Bacillariophyceae|Chaetocerotales|Chaetocerotaceae,
