Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
34,,N. cranto,10774,10783,3.10,2,,,,NoMatch,,,,,,,,
35,,N. cranto paedaretus,11425,11445,9.97,3,,,,NoMatch,,,,,,,,
36,,N. duessa,10804,10813,5.80,2,,,,NoMatch,,,,,,,,
37,,N. duessa incas,11446,11461,9.33,3,,,,NoMatch,,,,,,,,
38,,N. duessa jamariensis,11462,11483,12.44,3,,,,NoMatch,,,,,,,,
39,,N. duessa orellana,11484,11502,12.43,3,,,,NoMatch,,,,,,,,
40,,N. flossina,10834,10845,6.96,2,,,,NoMatch,,,,,,,,
41,,N. flossina flossina,11522,11542,13.33,3,,,,NoMatch,,,,,,,,
42,,N. glycera,10868,10878,6.57,2,,,,NoMatch,,,,,,,,
43,,N. glycera ellariformis,11562,11585,13.05,3,,,,NoMatch,,,,,,,,
44,,N. glycera eunomia,11586,11604,11.27,3,,,,NoMatch,,,,,,,,
45,,N. glycera glycera,11605,11623,12.48,3,,,,NoMatch,,,,,,,,
46,,N. glycera olyrina,11624,11642,12.80,3,,,,NoMatch,,,,,,,,
47,,N. gracilis,10901,10912,7.41,2,,,,NoMatch,,,,,,,,
48,,N. gracilis gracilis,11643,11663,13.97,3,,,,NoMatch,,,,,,,,
49,,N. harbona,10934,10944,5.59,2,,,,NoMatch,,,,,,,,
50,,N. harbona benigna,11404,11424,10.30,3,,,,NoMatch,,,,,,,,
51,,N. harbona podocarpus,11664,11685,11.51,3,,,,NoMatch,,,,,,,,
52,,N. inachia,10967,10977,5.22,2,,,,NoMatch,,,,,,,,
53,,N. inachia inachia,11706,11724,9.29,3,,,,NoMatch,,,,,,,,
54,,N. inachia johnsoni,11725,11744,10.36,3,,,,NoMatch,,,,,,,,
55,,N. inachia juanjuiensis,11745,11768,11.68,3,,,,NoMatch,,,,,,,,
56,,N. inachia patientia,11787,11807,10.93,3,,,,NoMatch,,,,,,,,
57,,N. inachia pozziana,11808,11827,11.86,3,,,,NoMatch,,,,,,,,
58,,N. inachia pyrois,11828,11845,9.01,3,,,,NoMatch,,,,,,,,
59,,N. inachia sulphurina,11846,11867,11.98,3,,,,NoMatch,,,,,,,,
60,,N. juanjuiensis,11769,11786,6.43,2,,,,NoMatch,,,,,,,,
61,,N. larilla,10998,11008,6.75,2,,,,NoMatch,,,,,,,,
62,,N. larilla larilla,11886,11904,12.84,3,,,,NoMatch,,,,,,,,
63,,N. larilla reventador,11905,11926,11.33,3,,,,NoMatch,,,,,,,,
64,,N. larina,11031,11040,6.54,2,,,,NoMatch,,,,,,,,
65,,N. larina aethra,11350,11368,10.96,3,,,,NoMatch,,,,,,,,
66,,N. larina deucalion,11927,11946,5.16,3,,,,NoMatch,,,,,,,,
67,,N. larina otaxes,11947,11963,10.32,3,,,,NoMatch,,,,,,,,
68,,N. larina pyrrho,11964,11980,6.14,3,,,,NoMatch,,,,,,,,
69,,N. larina quadrilis,11981,12000,13.37,3,,,,NoMatch,,,,,,,,
70,,N. larina zurippa,12016,12033,10.60,3,,,,NoMatch,,,,,,,,
71,,N. lycora,11060,11069,6.30,2,,,,NoMatch,,,,,,,,
72,,N. lycora attali,12034,12050,10.08,3,,,,NoMatch,,,,,,,,
73,,N. lycora lycora,12051,12067,12.22,3,,,,NoMatch,,,,,,,,
74,,N. peridia,11093,11103,5.79,2,,,,NoMatch,,,,,,,,
75,,N. peridia hoppi,12068,12084,9.33,3,,,,NoMatch,,,,,,,,
76,,N. peridia peridia,12085,12103,11.34,3,,,,NoMatch,,,,,,,,
77,,N. pharo,11122,11130,3.37,2,,,,NoMatch,,,,,,,,
78,,N. pharo acreana,12104,12120,9.88,3,,,,NoMatch,,,,,,,,
79,,N. pharo lamia,12121,12135,3.37,3,,,,NoMatch,,,,,,,,
80,,N. pharo pharo,12136,12150,6.90,3,,,,NoMatch,,,,,,,,
81,,N. quadrilis,12001,12015,7.55,2,,,,NoMatch,,,,,,,,
82,,N. rhezia,11150,11159,3.85,2,,,,NoMatch,,,,,,,,
83,,N. rhezia achaea,12151,12167,4.79,3,,,,NoMatch,,,,,,,,
84,,N. rhezia adelphe,12187,12204,7.91,3,,,,NoMatch,,,,,,,,
85,,N. rhezia adulta,12205,12221,8.58,3,,,,NoMatch,,,,,,,,
86,,N. rhezia cyrianassa,12222,12242,9.38,3,,,,NoMatch,,,,,,,,
87,,N. rhezia rhezia,12243,12259,7.63,3,,,,NoMatch,,,,,,,,
88,,N. rhezia xanthone,12260,12278,7.29,3,,,,NoMatch,,,,,,,,
89,,N. sodalis,11179,11189,7.24,2,,,,NoMatch,,,,,,,,
