Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
84,,Mustela nivalis,18930,18945,11.69,2,,,,Exact,9.01315,0,"Mustela nivalis Linnaeus, 1766",Mustela nivalis,44QY4,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Mustelidae|Mustelinae|Mustela|Mustela nivalis,
85,,Mustelidae,17402,17412,4.76,1,,,,Exact,9.01315,0,"Mustelidae Fischer, 1817",Mustelidae,CZT,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Mustelidae,
86,,Nandinia binotata,17489,17506,11.96,2,,,,Exact,9.01315,0,"Nandinia binotata (Gray, 1830)",Nandinia binotata,45LRZ,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Nandiniidae|Nandinia|Nandinia binotata,
87,,Nandiniidae,17473,17484,4.91,1,,,,Exact,9.01315,0,"Nandiniidae Pocock, 1929",Nandiniidae,D5L,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Nandiniidae,
88,,Neovison vison,18959,18973,3.78,2,,,,Exact,9.01138,0,"Neovison vison (Schreber, 1777)",Neovison vison,46WF6,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Mustelidae|Mustelinae|Mustela|Mustela vison,
89,,O. iamonensis,20511,20524,6.40,2,,,,NoMatch,0.0,,,,,,,,
90,,Ooedectes herpestoides,21550,21572,4.58,2,,,,Exact,8.91878,0,Ooedectes herpestoides (Wortman 1901),Ooedectes herpestoides,1287293,168,ION,,
91,,Osbornodon fricki,20485,20502,8.19,2,,,,Exact,8.98392,0,Osbornodon fricki Wang 1994,Osbornodon fricki,49462,172,PaleoBioDB,||Mammalia|Carnivora|Osbornodon fricki,
92,,Otarocyon,29759,29770,3.96,1,,,,Exact,8.98392,0,"Otarocyon Wang, Tedford & Taylor, 1999",Otarocyon,urn:lsid:irmng.org:taxname:1139648,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Carnivora|Canidae|Otarocyon,
93,,Otarocyon cooki,20603,20618,8.37,2,,,,Exact,8.98392,0,Otarocyon cooki (Macdonald 1963),Otarocyon cooki,49484,172,PaleoBioDB,||Mammalia|Carnivora|Otarocyon cooki,
