Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Bos taurus,11617,11629,7.12,2,,,,Exact,9.01315,0,"Bos taurus Linnaeus, 1758",Bos taurus,MLQ5,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Artiodactyla|Bovidae|Bovinae|Bos|Bos taurus,
1,,C. porcellus,19778,19792,7.08,2,,,,NoMatch,0.0,,,,,,,,
2,,Callithrix jacchus,11407,11427,10.42,2,,,,Exact,9.01315,0,"Callithrix jacchus (Linnaeus, 1758)",Callithrix jacchus,697NS,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Callitrichidae|Callithrix|Callithrix jacchus,
3,,Canis lupus familiaris,11543,11567,12.51,3,,,,Exact,9.32315,0,"Canis lupus familiaris Linnaeus, 1758",Canis lupus familiaris,5G6ZJ,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Canis|Canis lupus|Canis lupus familiaris,
4,,Cavia porcellus,11481,11498,11.40,2,,,,Exact,9.01315,0,"Cavia porcellus (Linnaeus, 1758)",Cavia porcellus,RY7S,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Rodentia|Hystricomorpha|Hystricognathi|Caviidae|Caviinae|Cavia|Cavia porcellus,
5,,Choloepus hoffmanni,11784,11805,11.81,2,,,,Exact,9.01315,0,"Choloepus hoffmanni Peters, 1858",Choloepus hoffmanni,5XYGX,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Pilosa|Folivora|Megalonychidae|Choloepus|Choloepus hoffmanni,
6,,Dasypus novemcinctus,12120,12141,12.94,2,,,,Exact,9.01315,0,"Dasypus novemcinctus Linnaeus, 1758",Dasypus novemcinctus,349W8,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Cingulata|Dasypodidae|Dasypodinae|Dasypus|Dasypus novemcinctus,
7,,Dipodomys ordii,19745,19762,10.73,2,,,,Exact,9.01315,0,"Dipodomys ordii Woodhouse, 1853",Dipodomys ordii,36PN2,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Rodentia|Castorimorpha|Heteromyidae|Dipodomyinae|Dipodomys|Dipodomys ordii,
8,,Echinops telfairi,11837,11857,10.06,2,,,,Exact,9.01315,0,"Echinops telfairi Martin, 1838",Echinops telfairi,38K9H,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Afrosoricida|Tenrecomorpha|Tenrecidae|Tenrecinae|Echinops|Echinops telfairi,
9,,Equus caballus,11585,11601,10.51,2,,,,Exact,9.01315,0,"Equus (Equus) caballus Linnaeus, 1758",Equus caballus,7TKN2,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Perissodactyla|Equidae|Equus|Equus|Equus caballus,
10,,Felis catus,11514,11527,11.34,2,,,,Exact,9.01315,0,"Felis catus Linnaeus, 1758",Felis catus,3DXV3,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Felidae|Felinae|Felis|Felis catus,
11,,Franca,200,206,2.76,1,,,,Exact,8.98392,0,Franca Boehm.,Franca,139801-3,167,IPNI,,
12,,Gallus gallus,11743,11758,11.79,2,,,,Exact,9.01315,0,"Gallus gallus (Linnaeus, 1758)",Gallus gallus,3F72J,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Galliformes|Phasianidae|Phasianinae|Gallus|Gallus gallus,
13,,Loxodonta africana,12089,12108,10.61,2,,,,Exact,9.01315,0,"Loxodonta africana (Blumenbach, 1797)",Loxodonta africana,3W9KV,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Proboscidea|Elephantidae|Loxodonta|Loxodonta africana,
14,,Macaca mulatta,11370,11386,8.51,2,,,,Exact,9.01315,0,"Macaca mulatta (Zimmermann, 1780)",Macaca mulatta,3WWNQ,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Cercopithecoidea|Cercopithecidae|Cercopithecinae|Papionini|Macaca|Macaca mulatta,
15,,Monodelphis domestica,11649,11672,10.37,2,,,,Exact,9.01315,0,"Monodelphis domestica (Wagner, 1842)",Monodelphis domestica,446N3,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Didelphimorphia|Didelphidae|Didelphinae|Monodelphis|Monodelphis domestica,
16,,Monodelphis domesticus,12167,12190,10.19,2,,,,Exact,8.91436,0,Monodelphis domesticus,Monodelphis domesticus,21567,168,ION,,
17,,Ornithorhynchus anatinus,11693,11719,11.82,2,,,,Exact,9.01315,0,"Ornithorhynchus anatinus (Shaw, 1799)",Ornithorhynchus anatinus,74WBV,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Prototheria|Monotremata|Ornithorhynchidae|Ornithorhynchus|Ornithorhynchus anatinus,
18,,Pan troglodytes,11289,11306,5.85,2,,,,Exact,9.01315,0,"Pan troglodytes (Blumenbach, 1775)",Pan troglodytes,4C92G,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Hominoidea|Hominidae|Homininae|Pan|Pan troglodytes,
19,,Peromyscus maniculatus,19871,19895,12.82,2,,,,Exact,9.01315,0,"Peromyscus maniculatus (Wagner, 1845)",Peromyscus maniculatus,4F7KP,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Rodentia|Myomorpha|Muroidea|Cricetidae|Neotominae|Peromyscus|Peromyscus maniculatus,
20,,Pongo pygmaeus abelii,11328,11351,14.84,3,,,,Exact,9.29267,0,Pongo pygmaeus abelii,Pongo pygmaeus abelii,gn_589187,170,Arctos,Animalia|Chordata|Mammalia|Primates|Hominidae|Pongo|Pongo pygmaeus abelii,
21,,Rattus norvegicus,11443,11462,12.30,2,,,,Exact,9.01315,0,"Rattus norvegicus (Berkenhout, 1769)",Rattus norvegicus,4RM67,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Rodentia|Myomorpha|Muroidea|Muridae|Murinae|Rattus|Rattus norvegicus,
22,,Trichosurus vulpecula,12484,12507,9.06,2,,,,Exact,9.01315,0,"Trichosurus vulpecula (Kerr, 1792)",Trichosurus vulpecula,7D574,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Metatheria|Diprotodontia|Phalangeriformes|Phalangeroidea|Phalangeridae|Phalangerinae|Trichosurini|Trichosurus|Trichosurus vulpecula,
