Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Abies alba,9835,9848,1.62,2,,,,Exact,9.01315,0,Abies alba Mill.,Abies alba,8K9Y,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae|Abies|Abies alba,
1,,Alnus,9940,9946,4.72,1,,,,Exact,9.00960,0,Alnus,Alnus,SQX,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Fagales|Betulaceae|Alnus,
2,,Amanita muscaria,36371,36388,10.46,2,,,,Exact,9.01315,0,Amanita muscaria (L.) Lam.,Amanita muscaria,5TYZ9,1,Catalogue of Life,Biota|Fungi|Basidiomycota|Agaricomycetes|Agaricales|Amanitaceae|Amanita|Amanita muscaria,
3,,Amethystina,9174,9185,4.17,1,,,,Exact,8.98392,0,"Amethystina Schaufuss, 1869",Amethystina,urn:lsid:irmng.org:taxname:1244928,181,IRMNG,Biota|Animalia|Mollusca|Mollusca|Mollusca|Mollusca|Amethystina,
4,,Betula pendula,9916,9933,11.30,2,,,,Exact,9.01315,0,Betula pendula Roth,Betula pendula,LPCQ,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Fagales|Betulaceae|Betula|Betula pendula,
5,,Cantharellus formosus,5908,5930,13.19,2,,,,Exact,9.01315,0,Cantharellus formosus Corner,Cantharellus formosus,QMMP,1,Catalogue of Life,Biota|Fungi|Basidiomycota|Agaricomycetes|Cantharellales|Cantharellaceae|Cantharellus|Cantharellus formosus,
6,,Carpinus betulus,10014,10032,12.46,2,,,,Exact,9.01315,0,Carpinus betulus L.,Carpinus betulus,RG23,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Fagales|Betulaceae|Carpinus|Carpinus betulus,
7,,Fagus sylvatica,7832,7847,11.85,2,,,,Exact,9.01315,0,Fagus sylvatica L.,Fagus sylvatica,3DSK5,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Fagales|Fagaceae|Fagus|Fagus sylvatica,
8,,Frankia,37800,37808,4.10,1,,,,Exact,9.01315,0,"Frankia Brunchorst, 1886",Frankia,4KZK,1,Catalogue of Life,Biota|Bacteria|Posibacteria|Actinobacteria|Actinobacteridae|Actinomycetales|Frankineae|Frankiaceae|Frankia,
9,,H. cylindrosporum,43243,43260,7.43,2,,,,NoMatch,0.0,,,,,,,,
