Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,E. editha,5413,5423,6.06,2,,,,NoMatch,,,,,,,,
1,,Euphydryas editha,1035,1055,10.58,2,,,,Exact,0,"Euphydryas editha (Boisduval, 1852)",Euphydryas editha,201290,3,ITIS,Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Lepidoptera|Papilionoidea|Nymphalidae|Nymphalinae|Melitaeini|Euphydryina|Euphydryas|Euphydryas|Euphydryas editha,
2,,Lepidoptera,706,718,5.11,1,,,,Exact,0,Lepidoptera,Lepidoptera,LP,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera,
