Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Oncorhynchus gorbuscha,18392,18416,10.58,2,,,,Exact,0,"Oncorhynchus gorbuscha (Walbaum, 1792)",Oncorhynchus gorbuscha,74N5S,1,Catalogue of Life,Biota|Animalia|Chordata|Actinopterygii|Salmoniformes|Salmonidae|Oncorhynchus|Oncorhynchus gorbuscha,
1,,Oncorhynchus nerka,2677,2696,7.63,2,,,,Exact,0,"Oncorhynchus nerka (Walbaum, 1792)",Oncorhynchus nerka,49JFH,1,Catalogue of Life,Biota|Animalia|Chordata|Actinopterygii|Salmoniformes|Salmonidae|Oncorhynchus|Oncorhynchus nerka,
2,,Oncorhynchus tshawytscha,18473,18499,10.84,2,,,,Exact,0,"Oncorhynchus tshawytscha (Walbaum, 1792)",Oncorhynchus tshawytscha,49JFR,1,Catalogue of Life,Biota|Animalia|Chordata|Actinopterygii|Salmoniformes|Salmonidae|Oncorhynchus|Oncorhynchus tshawytscha,
