Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
35,,Microcebus sambiranensis,18041,18065,12.09,2,,,,Exact,0,"Microcebus sambiranensis Rasoloarison, Goodman & Ganzhorn, 2000",Microcebus sambiranensis,42SC3,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Cheirogaleoidea|Cheirogaleidae|Microcebus|Microcebus sambiranensis,
36,,Microcebus simmonsi,18066,18085,11.30,2,,,,Exact,0,"Microcebus simmonsi Louis Jr., Coles, Andriantompohavana, Sommer, Engberg, Zaonarivelo, Mayor & Brenneman, 2006",Microcebus simmonsi,42SC4,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Cheirogaleoidea|Cheirogaleidae|Microcebus|Microcebus simmonsi,
37,,Microcebus sp��mandena,18178,18200,7.49,2,,,,PartialExact,0,"Microcebus É. Geoffroy Saint-Hilaire, 1834",Microcebus,63B2M,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Cheirogaleoidea|Cheirogaleidae|Microcebus,
38,,Microcebus tavaratra,18086,18106,11.44,2,,,,Exact,0,"Microcebus tavaratra Rasoloarison, Goodman & Ganzhorn, 2000",Microcebus tavaratra,42SC6,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Cheirogaleoidea|Cheirogaleidae|Microcebus|Microcebus tavaratra,
39,,Mirza coquereli,12307,12323,7.94,2,,,,Exact,0,"Mirza coquereli (A. Grandidier, 1867)",Mirza coquereli,43MKJ,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Cheirogaleoidea|Cheirogaleidae|Mirza|Mirza coquereli,
40,,Otus,7300,7304,4.06,1,,,,Exact,0,"Otus Pennant, 1769",Otus,63HPD,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Strigiformes|Strigidae|Striginae|Otus,
41,,P. tattersalli,12448,12463,6.60,2,,,,NoMatch,,,,,,,,
42,,P. verreauxi coquereli,12468,12490,10.94,3,,,,NoMatch,,,,,,,,
43,,Phaner,8909,8916,0.79,1,,,,Exact,0,"Phaner Gray, 1870",Phaner,63MT9,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Cheirogaleoidea|Cheirogaleidae|Phaner,
44,,Phaner pallescens,12328,12347,7.66,2,,,,Exact,0,"Phaner pallescens Groves & Tattersall, 1991",Phaner pallescens,4FSQ8,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Cheirogaleoidea|Cheirogaleidae|Phaner|Phaner pallescens,
45,,Propithecus tattersalli,18348,18371,11.33,2,,,,Exact,0,"Propithecus tattersalli Simons, 1988",Propithecus tattersalli,6W9Q9,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Lemuroidea|Indriidae|Propithecus|Propithecus tattersalli,
46,,Propithecus verreauxi coquereli,18372,18403,14.91,3,,,,Exact,0,Propithecus verreauxi ssp. coquereli,Propithecus verreauxi coquereli,null,163,IUCN Red List of Threatened Species,,
47,,Ranomafana,18856,18866,3.73,1,,,,Exact,0,"Ranomafana Pollock, 1995",Ranomafana,urn:lsid:irmng.org:taxname:1417793,181,IRMNG,Biota|Animalia|Arthropoda|Hexapoda|Insecta|Coleoptera|Pyrochroidae|Ranomafana,
48,,Taxon,11652,11657,1.77,1,,,,Exact,0,Taxon,Taxon,51015831-1,167,IPNI,,
