Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,A. aegypti,1095,1105,4.11,2,,,,NoMatch,0.0,,,,,,,,
1,,Aedes aegypti,1029,1043,6.98,2,,,,Exact,9.01315,0,"Aedes (Stegomyia) aegypti (Linnaeus, 1762)",Aedes aegypti,89W72,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Culicidae|Culicinae|Aedini|Aedes|Stegomyia|Aedes aegypti,
2,,Aedes rusticus,4401,4415,9.85,2,,,,Exact,9.01315,0,"Aedes (Rusticoidus) rusticus (Rossi, 1790)",Aedes rusticus,89W6D,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Culicidae|Culicinae|Aedini|Aedes|Rusticoidus|Aedes rusticus,
3,,Anopheles gambiae,37916,37934,9.71,2,,,,Exact,9.01315,0,"Anopheles (Cellia) gambiae Giles, 1900",Anopheles gambiae,89ZBF,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Culicidae|Anophelinae|Anopheles|Cellia|Anopheles gambiae,
4,,Arabidopsis,3542,3553,4.27,1,,,,Exact,9.00960,0,Arabidopsis,Arabidopsis,62CR2,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Arabidopsis,
5,,Bacillus thuringiensis,39247,39269,11.80,2,,,,Exact,9.01315,0,"Bacillus thuringiensis Berliner, 1915",Bacillus thuringiensis,5VYGL,1,Catalogue of Life,Biota|Bacteria|Posibacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus thuringiensis,
6,,Bacillus thuringiensis israelensis,960,994,18.45,3,,,,Exact,9.29453,0,"Bacillus thuringiensis subsp. israelensis de Barjac, 1978",Bacillus thuringiensis israelensis,6714932,11,GBIF Backbone Taxonomy,Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus thuringiensis|Bacillus thuringiensis israelensis,
7,,Bacillus thuringiensis subsp. israelensis,5780,5821,21.73,3,,,,Exact,9.48345,0,"Bacillus thuringiensis subsp. israelensis de Barjac, 1978",Bacillus thuringiensis israelensis,6714932,11,GBIF Backbone Taxonomy,Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus thuringiensis|Bacillus thuringiensis israelensis,
8,,Bacillus thuringiensis var. israelensis,1941,1981,21.73,3,,,,Exact,9.29267,0,Bacillus thuringiensis israelensis,Bacillus thuringiensis israelensis,57358890,12,EOL,,
9,,Drosophila melanogaster,46350,46374,9.57,2,,,,Exact,9.01315,0,"Drosophila (Drosophila) melanogaster Linnaeus, 1758",Drosophila melanogaster,8BWKC,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Drosophilidae|Drosophilinae|Drosophilini|Drosophilina|Drosophila|Drosophila|Drosophila melanogaster,
10,,Gasterosteus aculeatus,42692,42714,13.07,2,,,,Exact,9.01315,0,"Gasterosteus aculeatus Linnaeus, 1758",Gasterosteus aculeatus,3FCKT,1,Catalogue of Life,Biota|Animalia|Chordata|Actinopterygii|Gasterosteiformes|Gasterosteidae|Gasterosteus|Gasterosteus aculeatus,
11,,Helicoverpa armigera,44375,44395,11.70,2,,,,Exact,9.01315,0,"Helicoverpa armigera Hübner, 1827",Helicoverpa armigera,3K9KB,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Noctuoidea|Noctuidae|Helicoverpa|Helicoverpa armigera,
12,,L. saxatilis,42656,42668,7.55,2,,,,NoMatch,0.0,,,,,,,,
13,,Lepidoptera,39187,39198,5.11,1,,,,Exact,9.00960,0,Lepidoptera,Lepidoptera,LP,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera,
14,,Littorina saxatilis,37384,37403,12.05,2,,,,Exact,9.01315,0,"Littorina saxatilis (Olivi, 1792)",Littorina saxatilis,3VNRQ,1,Catalogue of Life,Biota|Animalia|Mollusca|Gastropoda|Caenogastropoda|Littorinimorpha|Littorinoidea|Littorinidae|Littorininae|Littorina|Littorina saxatilis,
15,,Nene,45259,45264,2.82,1,,,,Exact,8.95257,0,Nene Kment 2015,Nene,03C5FB49A967981C794A413CFD4FFC08,194,Plazi,,
16,,Ostrinia nubilalis,37440,37458,11.80,2,,,,Exact,9.01315,0,Ostrinia nubilalis Hübner,Ostrinia nubilalis,75D96,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Lepidoptera|Pyraloidea|Crambidae|Ostrinia|Ostrinia nubilalis,
17,,Silene,37322,37328,3.46,1,,,,Exact,9.01315,0,Silene L.,Silene,644QW,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Caryophyllales|Caryophyllaceae|Silene,
