Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Meles meles,34479,34492,5.04,2,,,,Exact,0,"Meles meles (Linnaeus, 1758)",Meles meles,3ZDRX,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Mustelidae|Melinae|Meles|Meles meles,
1,,Mephitis mephitis,5789,5808,10.88,2,,,,Exact,0,"Mephitis mephitis (Schreber, 1776)",Mephitis mephitis,3ZT5J,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Mephitidae|Mephitis|Mephitis mephitis,
2,,Odocoileus virginianus,4119,4143,12.51,2,,,,Exact,0,"Odocoileus virginianus (Zimmermann, 1780)",Odocoileus virginianus,48NBQ,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Artiodactyla|Cervidae|Capreolinae|Odocoileus|Odocoileus virginianus,
3,,Procyon lotor,771,785,8.06,2,,,,Exact,0,"Procyon lotor (Linnaeus, 1758)",Procyon lotor,4MPXY,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Procyonidae|Procyon|Procyon lotor,
