Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
33,,Negaprion brevirostris,11165,11187,9.78,2,,,,Exact,9.01315,0,"Negaprion brevirostris (Poey, 1868)",Negaprion brevirostris,464NF,1,Catalogue of Life,Biota|Animalia|Chordata|Elasmobranchii|Carcharhiniformes|Carcharhinidae|Negaprion|Negaprion brevirostris,
34,,Orectolobidae,5951,5965,5.10,1,,,,Exact,9.00960,0,Orectolobidae,Orectolobidae,DPT,1,Catalogue of Life,Biota|Animalia|Chordata|Elasmobranchii|Orectolobiformes|Orectolobidae,
35,,P. glauca,11969,11979,5.54,2,,,,NoMatch,0.0,,,,,,,,
36,,Prionace glauca,11202,11217,7.60,2,,,,Exact,9.01315,0,"Prionace glauca (Linnaeus, 1758)",Prionace glauca,4MF6P,1,Catalogue of Life,Biota|Animalia|Chordata|Elasmobranchii|Carcharhiniformes|Carcharhinidae|Prionace|Prionace glauca,
37,,S. mokarran,11980,11992,4.28,2,,,,NoMatch,0.0,,,,,,,,
38,,S. ringens,12390,12400,6.07,2,,,,NoMatch,0.0,,,,,,,,
39,,S. tiburo,19335,19345,3.85,2,,,,NoMatch,0.0,,,,,,,,
40,,Schaeffer,6999,7010,3.82,1,,,,Exact,9.01049,0,"Schaeffer Suetsugu, N, Satoh, F & Koike, T, 2010",Schaeffer,643DH,1,Catalogue of Life,Biota|Animalia|Arthropoda|Collembola|Poduromorpha|Hypogastruroidea|Hypogastruridae|Schaefferia,
41,,Scyliorhinidae,6001,6016,5.11,1,,,,Exact,9.00960,0,Scyliorhinidae,Scyliorhinidae,G6B,1,Catalogue of Life,Biota|Animalia|Chordata|Elasmobranchii|Carcharhiniformes|Scyliorhinidae,
42,,Scymnodon ringens,11236,11253,9.13,2,,,,Exact,9.01315,0,"Scymnodon ringens Barbosa du Bocage & de Brito Capello, 1864",Scymnodon ringens,4W5D4,1,Catalogue of Life,Biota|Animalia|Chordata|Elasmobranchii|Squaliformes|Somniosidae|Scymnodon|Scymnodon ringens,
43,,Sphyrna mokarran,10989,11005,8.00,2,,,,Exact,9.01315,0,"Sphyrna mokarran (Rüppell, 1837)",Sphyrna mokarran,4Z2QK,1,Catalogue of Life,Biota|Animalia|Chordata|Elasmobranchii|Carcharhiniformes|Sphyrnidae|Sphyrna|Sphyrna mokarran,
44,,Sphyrna probatocephalus tiburo,28166,28196,14.95,3,,,,PartialExact,9.01315,0,"Sphyrna tiburo (Linnaeus, 1758)",Sphyrna tiburo,4Z2QP,1,Catalogue of Life,Biota|Animalia|Chordata|Elasmobranchii|Carcharhiniformes|Sphyrnidae|Sphyrna|Sphyrna tiburo,
45,,Sphyrna tiburo,17781,17795,7.57,2,,,,Exact,9.01315,0,"Sphyrna tiburo (Linnaeus, 1758)",Sphyrna tiburo,4Z2QP,1,Catalogue of Life,Biota|Animalia|Chordata|Elasmobranchii|Carcharhiniformes|Sphyrnidae|Sphyrna|Sphyrna tiburo,
46,,Squatinidae,5984,5996,4.91,1,,,,Exact,9.00960,0,Squatinidae,Squatinidae,GLF,1,Catalogue of Life,Biota|Animalia|Chordata|Elasmobranchii|Squatiniformes|Squatinidae,
47,,Triassic,7944,7952,1.22,1,,,,Exact,8.91878,0,Triassic Kuhn 1960,Triassic,2682189,168,ION,,
48,,X. compressus,12428,12441,7.14,2,,,,NoMatch,0.0,,,,,,,,
49,,Xenacanthus,29433,29444,3.95,1,,,,Exact,9.01138,0,Xenacanthus Bremek.,Xenacanthus,5TJ9Q,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Strobilanthes,
50,,Xenacanthus compressus,14652,14675,11.49,2,,,,Exact,8.94848,0,Xenacanthus compressus,Xenacanthus compressus,gn_12140,186,MCZbase,Animalia||Chondrichthyes||Xenacanthidae|Xenacanthus|Xenacanthus compressus,
