Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Canisius,500,508,4.51,1,,,,Exact,8.98392,0,"Canisius Navás, 1913",Canisius,urn:lsid:irmng.org:taxname:1396543,181,IRMNG,Biota|Animalia|Arthropoda|Hexapoda|Insecta|Neuroptera|Neuroptera|Canisius,
1,,Diplograptina,3919,3932,3.81,1,,,,Exact,8.91878,0,Diplograptina Lapworth 1880,Diplograptina,2274396,168,ION,,
2,,Graptoloidea,2822,2834,4.71,1,,,,Exact,8.98012,0,Graptoloidea,Graptoloidea,urn:lsid:irmng.org:taxname:10360,181,IRMNG,Biota|Animalia|Hemichordata|Graptolithina|Graptoloidea,
3,,Hemichordata,3350,3364,4.43,1,,,,Exact,9.01315,0,"Hemichordata Bateson, 1885",Hemichordata,4R,1,Catalogue of Life,Biota|Animalia|Hemichordata,
4,,Morphological,9945,9958,1.51,1,,,,Exact,8.91436,0,Morphological,Morphological,3009798,168,ION,,
5,,Morphological data,4987,5005,4.33,2,,,,PartialExact,8.91436,0,Morphological,Morphological,3009798,168,ION,,
