Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Agis,5582,5587,2.12,1,,,,Exact,0,"Agis Rehn, 1933",Agis,8N6DK,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Blattodea|Blaberoidea|Blaberidae|Perisphaerinae|Cyrtotria,
1,,Aspergillus niger,10606,10623,9.96,2,,,,Exact,0,Aspergillus niger Tiegh.,Aspergillus niger,HC7Z,1,Catalogue of Life,Biota|Fungi|Ascomycota|Eurotiomycetes|Eurotiales|Aspergillaceae|Aspergillus|Aspergillus niger,
2,,D. arizonae,31806,31817,6.44,2,,,,NoMatch,,,,,,,,
3,,D. melanogaster,6440,6456,4.28,2,,,,NoMatch,,,,,,,,
4,,D. melanogaster compared,5069,5093,2.94,3,,,,NoMatch,,,,,,,,
5,,D. mojavensis,31822,31835,6.40,2,,,,NoMatch,,,,,,,,
6,,D. simulans,1410,1421,5.45,2,,,,NoMatch,,,,,,,,
7,,Drosophila,333,344,4.89,1,,,,Exact,0,Drosophila,Drosophila,8NPBW,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Drosophilidae|Drosophila,
8,,Drosophila melanogaster,769,792,9.57,2,,,,Exact,0,"Drosophila (Sophophora) melanogaster Meigen, 1830",Drosophila melanogaster,8BXCZ,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Drosophilidae|Drosophilinae|Drosophilini|Drosophilina|Drosophila|Sophophora|Drosophila melanogaster,
9,,Drosophila simulans,77,96,10.74,2,,,,Exact,0,"Drosophila (Sophophora) simulans Sturtevant, 1919",Drosophila simulans,8BXHZ,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Drosophilidae|Drosophilinae|Drosophilini|Drosophilina|Drosophila|Sophophora|Drosophila simulans,
10,,Drosophila simulans carbohydrate,20874,20906,10.14,3,,,,NoMatch,0,"Drosophila (Sophophora) simulans Sturtevant, 1919",Drosophila simulans,8BXHZ,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Diptera|Drosophilidae|Drosophilinae|Drosophilini|Drosophilina|Drosophila|Sophophora|Drosophila simulans,
