Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Arctocebus,3873,3883,5.14,1,,,,Exact,0,"Arctocebus Gray, 1863",Arctocebus,32BW,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lorisiformes|Lorisidae|Perodicticinae|Arctocebus,
1,,Cheirogaleus major,9790,9808,9.58,2,,,,Exact,0,"Cheirogaleus major É. Geoffroy Saint-Hilaire, 1812",Cheirogaleus major,69RNW,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Cheirogaleoidea|Cheirogaleidae|Cheirogaleus|Cheirogaleus major,
2,,Daubentonia madagascariensis,9809,9837,11.65,2,,,,Exact,0,"Daubentonia madagascariensis (Gmelin, 1788)",Daubentonia madagascariensis,34B7X,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Chiromyiformes|Daubentoniidae|Daubentonia|Daubentonia madagascariensis,
3,,Eutheria,57861,57870,4.44,1,,,,Exact,0,"Eutheria Gill, 1872",Eutheria,LG,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria,
4,,G. matschiei,33628,33640,5.90,2,,,,NoMatch,,,,,,,,
5,,Galago,11587,11594,2.98,1,,,,Exact,0,"Galago É. Geoffroy Saint-Hilaire, 1796",Galago,4LR5,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lorisiformes|Galagidae|Galago,
6,,Galago matschiei,9619,9635,9.29,2,,,,Exact,0,"Galago matschiei Lorenz, 1917",Galago matschiei,6JW34,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lorisiformes|Galagidae|Galago|Galago matschiei,
7,,Galago moholi,9636,9649,8.36,2,,,,Exact,0,"Galago moholi A. Smith, 1836",Galago moholi,3F2DD,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lorisiformes|Galagidae|Galago|Galago moholi,
8,,Galagoides,11599,11611,3.72,1,,,,Exact,0,"Galagoides A. Smith, 1833",Galagoides,4LR6,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lorisiformes|Galagidae|Galagoides,
9,,Galagoides demidoff,9650,9669,8.40,2,,,,Exact,0,"Galagoides demidoff (G. Fischer, 1806)",Galagoides demidoff,3F2DV,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lorisiformes|Galagidae|Galagoides|Galagoides demidoff,
10,,Galagonidae,5323,5335,4.91,1,,,,Exact,0,"Galagonidae Gray, 1825",Galagonidae,623TC,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lorisiformes|Galagidae,
