Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
0,,Cercotrichas coryphaeus,5783,5807,6.93,2,,,,Exact,0,"Cercotrichas coryphaeus (Lesson, 1831)",Cercotrichas coryphaeus,SVTX,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Erythropygia|Erythropygia coryphoeus,
1,,G. gallus chromosome,13909,13929,6.07,3,,,,NoMatch,,,,,,,,
2,,Gallus gallus chromosome,13867,13891,11.35,3,,,,NoMatch,0,"Gallus gallus (Linnaeus, 1758)",Gallus gallus,3F72J,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Galliformes|Phasianidae|Phasianinae|Gallus|Gallus gallus,
3,,Mila,42434,42438,3.59,1,,,,Exact,0,Mila Britton & Rose,Mila,5SRS,1,Catalogue of Life,Biota|Plantae|Tracheophyta|Magnoliopsida|Caryophyllales|Cactaceae|Cactoideae|Mila,
4,,Morphological,20233,20246,1.51,1,,,,Exact,0,Morphological,Morphological,3009798,168,ION,,
